epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.6984,1.77205,4.45937,0.01446,0.00496,0.6,0.01074,0.00488,1.80817,3.60485,0.01837,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058,0.00174,0.00058
2,61.4124,1.50831,3.31172,0.0116,0.30987,0.26667,0.20636,0.11095,1.47565,2.60669,0.01373,0.00348159,0.00116053,0.00348159,0.00116053,0.00348159,0.00116053,0.00348159,0.00116053
3,76.2589,1.45284,2.42651,0.01102,0.55934,0.46364,0.46554,0.26176,1.4813,1.95122,0.01391,0.00516378,0.00172126,0.00516378,0.00172126,0.00516378,0.00172126,0.00516378,0.00172126
4,90.4413,1.39557,1.8282,0.01022,0.62277,0.48485,0.52341,0.32007,1.4294,1.73276,0.01329,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
5,104.405,1.4089,1.58954,0.00993,0.67219,0.56667,0.6296,0.38349,1.38016,1.41865,0.01235,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868,0.005604,0.001868
6,118.901,1.31584,1.39321,0.00959,0.65081,0.60432,0.64326,0.412,1.31214,1.39992,0.01206,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835,0.005505,0.001835
7,133.02,1.31504,1.28207,0.00965,0.68339,0.59091,0.66269,0.41985,1.36148,1.29724,0.01269,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
8,147.562,1.33826,1.27354,0.01049,0.73285,0.59022,0.68707,0.44867,1.3379,1.32076,0.01227,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769,0.005307,0.001769
9,161.95,1.25397,1.16169,0.00912,0.73982,0.62424,0.71657,0.47018,1.33612,1.20082,0.01197,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736,0.005208,0.001736
10,177.064,1.31919,1.11591,0.00885,0.72656,0.6697,0.70083,0.45768,1.3783,1.22514,0.0122,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
11,191.148,1.25102,1.03932,0.0087,0.73189,0.65455,0.72302,0.46361,1.36052,1.23078,0.01246,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167,0.00501,0.00167
12,205.494,1.25806,1.05527,0.00863,0.73169,0.62727,0.73664,0.46716,1.38119,1.19255,0.01267,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637,0.004911,0.001637
13,219.551,1.26862,1.00281,0.00902,0.78768,0.64078,0.71313,0.46461,1.38702,1.24019,0.01306,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
14,234.042,1.1787,1.11519,0.00899,0.75868,0.64545,0.71094,0.45865,1.36482,1.2669,0.01276,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571
15,248.178,1.19632,0.94538,0.00864,0.77781,0.66829,0.72287,0.46194,1.38302,1.23089,0.01293,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538,0.004614,0.001538
16,262.483,1.22643,0.9919,0.00838,0.78022,0.65455,0.73977,0.48302,1.38118,1.17491,0.01238,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
17,277.045,1.19174,1.0258,0.00892,0.77685,0.67516,0.75642,0.49524,1.3511,1.21172,0.0123,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472,0.004416,0.001472
18,292.061,1.15642,0.90758,0.008,0.7828,0.66061,0.74673,0.49655,1.28979,1.28855,0.01141,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439,0.004317,0.001439
19,306.19,1.16118,0.90125,0.00809,0.77944,0.66394,0.75532,0.50655,1.30384,1.22648,0.01152,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
